1999/01/01,105.9
1999/02/01,106.2
1999/03/01,105.7
1999/04/01,105.8
1999/05/01,106.6
1999/06/01,107.6
1999/07/01,106.5
1999/08/01,108.3
1999/09/01,108.4
1999/10/01,108.3
1999/11/01,108.6
1999/12/01,109.9
2000/01/01,109.7
2000/02/01,110.0
2000/03/01,110.4
2000/04/01,110.6
2000/05/01,111.1
2000/06/01,111.2
2000/07/01,111.4
2000/08/01,111.8
2000/09/01,112.4
2000/10/01,112.5
2000/11/01,112.7
2000/12/01,112.9
2001/01/01,113.2
2001/02/01,112.9
2001/03/01,113.2
2001/04/01,113.8
2001/05/01,113.4
2001/06/01,113.6
2001/07/01,114.5
2001/08/01,113.8
2001/09/01,113.5
2001/10/01,113.4
2001/11/01,113.1
2001/12/01,113.3
2002/01/01,113.1
2002/02/01,113.3
2002/03/01,113.4
2002/04/01,113.3
2002/05/01,113.3
2002/06/01,113.5
2002/07/01,113.5
2002/08/01,113.5
2002/09/01,113.5
2002/10/01,113.6
2002/11/01,113.9
2002/12/01,113.8
2003/01/01,114.0
2003/02/01,114.1
2003/03/01,113.9
2003/04/01,103.5
2003/05/01,100.0
2003/06/01,103.4
2003/07/01,106.4
2003/08/01,108.2
2003/09/01,108.6
2003/10/01,109.9
2003/11/01,110.3
2003/12/01,111.2
2004/01/01,111.3
2004/02/01,111.1
2004/03/01,111.3
2004/04/01,110.8
2004/05/01,108.0
2004/06/01,105.1
2004/07/01,106.3
2004/08/01,105.9
2004/09/01,106.5
2004/10/01,107.1
2004/11/01,108.2
2004/12/01,108.7
2005/01/01,109.1
2005/02/01,109.6
2005/03/01,110.1
2005/04/01,110.5
2005/05/01,110.0
2005/06/01,110.4
2005/07/01,110.1
2005/08/01,110.3
2005/09/01,110.0
2005/10/01,109.3
2005/11/01,109.2
2005/12/01,110.0
2006/01/01,110.3
2006/02/01,109.2
2006/03/01,109.9
2006/04/01,109.4
2006/05/01,109.4
2006/06/01,109.8
2006/07/01,109.7
2006/08/01,110.2
2006/09/01,111.7
2006/10/01,111.6
2006/11/01,112.0
2006/12/01,113.1
2007/01/01,112.4
2007/02/01,111.8
2007/03/01,111.0
2007/04/01,112.3
2007/05/01,112.8
2007/06/01,113.7
2007/07/01,112.9
2007/08/01,113.5
2007/09/01,113.1
2007/10/01,112.6
2007/11/01,112.0
2007/12/01,113.1
2008/01/01,111.6
2008/02/01,110.0
2008/03/01,110.3
2008/04/01,109.7
2008/05/01,110.0
2008/06/01,109.8
2008/07/01,110.2
2008/08/01,109.3
2008/09/01,108.9
2008/10/01,107.9
2008/11/01,105.2
2008/12/01,101.8
2009/01/01,101.254904
2009/02/01,100.974872
2009/03/01,100.321464
2009/04/01,100.508152
2009/05/01,101.16156
2009/06/01,100.974872
2009/07/01,102.118336
2009/08/01,102.701736
2009/09/01,102.79508
2009/10/01,103.215128
2009/11/01,103.331808
2009/12/01,103.924542
2010/01/01,104.7
2010/02/01,104.2
2010/03/01,107.9
2010/04/01,106.6
2010/05/01,108.0
2010/06/01,108.5
2010/07/01,107.8
2010/08/01,107.3
2010/09/01,104.1019
2010/10/01,103.7519
2010/11/01,102.8884
2010/12/01,100.4
2011/01/01,99.9
2011/02/01,99.6214
2011/03/01,107.5994
2011/04/01,106.6
2011/05/01,105.8
2011/06/01,108.1
2011/07/01,105.6
2011/08/01,105.0
2011/09/01,103.37
2011/10/01,100.47
2011/11/01,97.03
2011/12/01,100.46
2012/01/01,103.92
2012/02/01,105.016
2012/03/01,100.044
2012/04/01,103.0
2012/05/01,104.179
2012/06/01,99.3
2012/07/01,98.2
2012/08/01,99.4094
2012/09/01,100.843
2012/10/01,106.06
2012/11/01,105.1
2012/12/01,103.7
2013/01/01,104.5
2013/02/01,108.2
2013/03/01,102.6
2013/04/01,103.7
2013/05/01,99.0
2013/06/01,97.0
2013/07/01,97.2
2013/08/01,97.8
2013/09/01,99.8
2013/10/01,102.9
2013/11/01,98.9
2013/12/01,102.3
2014/01/01,101.1
2014/02/01,103.1
2014/03/01,107.9
2014/04/01,104.8
2014/05/01,102.3
2014/06/01,104.7
2014/07/01,104.4
2014/08/01,103.8
2014/09/01,105.4
2014/10/01,103.4
2014/11/01,105.5
2014/12/01,105.8
2015/01/01,105.7
2015/02/01,109.8
2015/03/01,107.1
2015/04/01,107.6
2015/05/01,109.9
2015/06/01,105.54
2015/07/01,104.48
2015/08/01,104.0
2015/09/01,105.6
2015/10/01,103.8
2015/11/01,104.1
2015/12/01,103.7
2016/01/01,104.0
2016/02/01,104.4
2016/03/01,100.0
2016/04/01,101.0
2016/05/01,99.8
2016/06/01,102.9
2016/07/01,106.8
2016/08/01,105.6
2016/09/01,104.6
2016/10/01,107.2
2016/11/01,108.6
2016/12/01,108.4
2017/01/01,109.2
2017/02/01,112.6
2017/03/01,111.0
2017/04/01,113.4
2017/05/01,112.0
2017/06/01,113.3
2017/07/01,114.6
2017/08/01,117.6
2017/09/01,121.9
2017/10/01,127.6
2017/11/01,124.6
2017/12/01,125.9
2018/01/01,122.3
2018/02/01,124.0
2018/03/01,122.3
2018/04/01,122.9
2018/05/01,122.9
2018/06/01,118.2
2018/07/01,119.7
2018/08/01,118.6
2018/09/01,118.5
2018/10/01,119.1
2018/11/01,122.1
2018/12/01,123.0
2019/01/01,123.7
2019/02/01,126.0
2019/03/01,124.1
2019/04/01,125.3
2019/05/01,123.4
2019/06/01,125.9
2019/07/01,124.4
2019/08/01,122.4
2019/09/01,124.1
2019/10/01,124.3
2019/11/01,124.6
2019/12/01,126.6
2020/01/01,126.4
2020/02/01,118.9
2020/03/01,122.2
2020/04/01,116.4
2020/05/01,115.8
2020/06/01,112.6
2020/07/01,117.2
2020/08/01,116.4
2020/09/01,120.5
2020/10/01,121.7
2020/11/01,124.0
2020/12/01,122.1
2021/01/01,122.8
2021/02/01,127.0
2021/03/01,122.2
2021/04/01,121.5
2021/05/01,121.8
2021/06/01,122.8
2021/07/01,117.8
2021/08/01,117.5
2021/09/01,121.2
2021/10/01,120.2
2021/11/01,119.5
